ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07481;2022-01-01T16:00:00+01:00;102630;-150.0;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;360;1.1;283.15;280.95;86;20000.0;Nuages en formation ou en train de se développer;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;40.0;0;8000.0;30;20;11;99720.0;;;-60.0;;;;;;;;2.1;2.9;-10.0;0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;0;8000.0;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;10.0;;;;;;45.7265;5.077833;235;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84;1
07481;2022-01-03T10:00:00+01:00;102560;-40.0;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;140;2.6;279.35;277.95;91;8370.0;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100.0;8;4860.0;;;;99610.0;;;-140.0;;;;;;;;5.4;6.9;-10.0;1;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;8.0;;4860.0;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;6.2000000000000455;;;;;;45.7265;5.077833;235;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84;1
07481;2022-01-09T07:00:00+01:00;101250;90.0;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;60;1.1;276.65;273.85;82;50000.0;Dans l’ensemble, nuages se dissipant ou devenant moins épais;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;1;50.0;2;800.0;38;23;10;98310.0;;;-840.0;276.65;;280.45;;;;;1.9;7.3;-10.0;2;0.0;0.0;-60.0;0.0;0.6;1.0;3.0;3.8;;;;;1.0;8;900.0;2.0;6;1500.0;3.0;3;4200.0;;;;45.7265,5.077833;LYON-ST EXUPERY;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;Dans l’ensemble, nuages se dissipant ou devenant moins épais;3.5;3.5;;7.300000000000011;;;45.7265;5.077833;235;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84;1
07481;2022-01-04T10:00:00+01:00;100800;-110.0;En baisse;170;8.6;283.55;279.45;76;60000.0;Nuages en formation ou en train de se développer;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100.0;4;;30;27;17;97950.0;;;-1660.0;;;;;;;;13.8;14.0;-10.0;0;0.0;0.0;-30.0;0.0;0.0;0.0;0.2;0.2;;;;;4.0;3;3400.0;8.0;2;8000.0;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;En baisse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;10.400000000000034;;;;;;45.7265;5.077833;235;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84;1
07481;2022-01-07T13:00:00+01:00;102350;-50.0;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;130;2.9;276.15;272.35;76;15000.0;Neige;Neige, ou pluie et neige mêlées;2;100.0;7;450.0;35;;;99370.0;;;260.0;;;;;;;;4.7;5.2;-10.0;1;0.0;0.0;-60.0;-0.1;-0.1;-0.1;-0.1;-0.1;;;;;1.0;7;400.0;5.0;6;900.0;7.0;6;1200.0;;;;45.7265,5.077833;LYON-ST EXUPERY;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;Neige, ou pluie et neige mêlées;Neige;3.0;;;;;;45.7265;5.077833;235;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84;1
07481;2022-01-04T07:00:00+01:00;100900;-220.0;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;170;5.1;284.95;278.15;63;40000.0;Nuages en formation ou en train de se développer;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100.0;7;2800.0;30;27;;98060.0;;;-1590.0;283.45;;285.55;;;;;8.8;10.6;-10.0;0;0.0;0.0;-60.0;0.0;0.0;0.2;0.2;0.2;;;;;1.0;3;2800.0;7.0;3;3400.0;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;11.800000000000011;10.300000000000011;;12.400000000000034;;;45.7265;5.077833;235;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84;1
07481;2022-01-02T04:00:00+01:00;102560;-100.0;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;150;3.6;277.05;275.75;91;12000.0;État du ciel inchangé dans l’ensemble;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;0.0;0;;30;20;10;99590.0;;;-330.0;;;;;;;;5.5;6.6;-10.0;0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;3.900000000000034;;;;;;45.7265;5.077833;235;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84;1
07481;2022-01-02T13:00:00+01:00;102610;-60.0;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;180;3.4;282.25;279.15;81;50000.0;Nuages en formation ou en train de se développer;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;90.0;6;;30;25;12;99690.0;;;-180.0;;;;;;;;6.2;7.1;-10.0;0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;7.0;3;4200.0;5.0;0;7300.0;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;9.100000000000023;;;;;;45.7265;5.077833;235;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84;1
07481;2022-01-05T01:00:00+01:00;100920;250.0;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;280;2.0;279.25;278.55;95;5500.0;Pluie, sans congélation, continue, modérée au moment de l’observation;Pluie;6;100.0;7;450.0;38;;;98020.0;;;-490.0;;;;;;;;3.9;8.1;-10.0;2;0.0;0.0;-60.0;4.4;9.4;9.4;9.4;9.6;;;;;1.0;8;400.0;7.0;6;800.0;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;Pluie;Pluie, sans congélation, continue, modérée au moment de l’observation;6.100000000000023;;;;;;45.7265;5.077833;235;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84;1
07481;2022-01-07T22:00:00+01:00;102290;-90.0;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;140;5.1;275.55;274.25;91;12000.0;État du ciel inchangé dans l’ensemble;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100.0;7;;35;;;99310.0;;;-10.0;;;;;;;;6.9;7.4;-10.0;1;0.0;0.0;-30.0;0.0;0.0;-0.1;0.6;0.6;;;;;7.0;6;1100.0;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;2.400000000000034;;;;;;45.7265;5.077833;235;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84;1
